dataset,missing_type,missing_rate,variant,seed,batches,route_entropy,route_effective_groups,out_a_norm,out_b_norm,out_ab_cosine,proj_a_weight_norm,proj_b_weight_norm,gate_mean,gate_std,gate_group_mean,route_top1_counts
Weather,random_point,0.5,ggate,2025,5,0.8938236236572266,2.231712818145752,11.87878246307373,12.174006271362305,0.1432580217719078,,,0.5009514689445496,0.007535056211054325,0.4945|0.5136|0.4960|0.4997,5.0000|4.0000|6.0000|6.0000
Electricity,continuous_segment,0.5,mgate,2024,5,0.649312436580658,1.7717839479446411,17.76437759399414,8.08923511505127,-0.011249739117920399,,,0.32183111310005186,0.00967808924615383,0.3218|0.3218|0.3218|0.3219,58.0000|62.0000|79.0000|122.0000
Electricity,continuous_segment,0.5,mgate,2025,5,0.7029404640197754,1.8267323970794678,18.417948532104493,8.38292236328125,-0.042431601136922834,,,0.3240003764629364,0.025874951109290122,0.3240|0.3240|0.3240|0.3240,78.0000|67.0000|102.0000|74.0000
Electricity,random_point,0.5,mgate,2024,5,0.7846375107765198,1.9805078506469727,20.004989624023438,8.684963798522949,-0.07110263854265213,,,0.3272807240486145,0.0012547125108540059,0.3273|0.3273|0.3273|0.3273,64.0000|89.0000|69.0000|99.0000
Electricity,random_point,0.5,mgate,2025,5,0.740304172039032,1.8996762037277222,21.146848678588867,9.730886459350586,-0.1660407543182373,,,0.34601808786392213,0.002085484331473708,0.3460|0.3460|0.3460|0.3460,79.0000|99.0000|87.0000|56.0000
Traffic,continuous_segment,0.7,mgate,2024,5,0.7902792096138,1.9759234189987183,19.209786224365235,12.54451026916504,-0.2187592089176178,,,0.36741551756858826,0.04568609669804573,0.3675|0.3675|0.3673|0.3673,229.0000|141.0000|202.0000|290.0000
Traffic,continuous_segment,0.7,mgate,2025,5,0.7644307017326355,1.9672378301620483,15.567423248291016,7.351208019256592,-0.17258017063140868,,,0.3085466206073761,0.053029191493988034,0.3085|0.3086|0.3086|0.3085,192.0000|151.0000|259.0000|260.0000
Traffic,random_point,0.3,mgate,2024,5,1.0019941329956055,2.479132890701294,18.828147888183594,11.3970703125,-0.23395490646362305,,,0.388404905796051,0.0017477133078500628,0.3884|0.3884|0.3884|0.3884,288.0000|126.0000|222.0000|226.0000
Traffic,random_point,0.3,mgate,2025,5,0.9545859694480896,2.3738579750061035,16.304700469970705,10.665996551513672,-0.14455317854881286,,,0.351538747549057,0.0008026921190321445,0.3515|0.3515|0.3515|0.3515,347.0000|200.0000|156.0000|159.0000
Traffic,random_point,0.5,mgate,2024,5,0.9808834195137024,2.3509647846221924,18.763306045532225,13.052449035644532,-0.17006995379924775,,,0.44103822112083435,0.0008474414469674229,0.4410|0.4410|0.4410|0.4410,267.0000|281.0000|164.0000|150.0000
Traffic,random_point,0.5,mgate,2025,5,0.9512784481048584,2.3547816276550293,16.57532501220703,9.930010032653808,-0.1443403869867325,,,0.3575574100017548,0.0007777757360599935,0.3576|0.3576|0.3576|0.3576,170.0000|250.0000|180.0000|262.0000
Traffic,random_point,0.7,mgate,2024,5,0.8929269313812256,2.1572561264038086,21.977653121948244,12.298429107666015,-0.15860845148563385,,,0.37926578521728516,0.0004659660335164517,0.3793|0.3793|0.3793|0.3793,274.0000|163.0000|188.0000|237.0000
Traffic,random_point,0.7,mgate,2025,5,0.9348598718643188,2.3389229774475098,15.570210075378418,9.330486679077149,-0.12408004254102707,,,0.3416545569896698,0.000804011186119169,0.3417|0.3417|0.3417|0.3417,162.0000|290.0000|113.0000|297.0000
Weather,continuous_segment,0.3,mgate,2024,5,1.0090018510818481,2.6987662315368652,15.077551078796386,16.414880752563477,0.22039399147033692,,,0.4675184488296509,0.019390302896499633,0.4677|0.4677|0.4683|0.4663,2.0000|2.0000|11.0000|6.0000
Weather,continuous_segment,0.3,mgate,2025,5,0.8241297602653503,2.1794538497924805,12.486296844482421,14.039582252502441,0.3383009731769562,,,0.45925660729408263,0.03290238380432129,0.4597|0.4608|0.4602|0.4563,8.0000|1.0000|12.0000|0.0000
Weather,continuous_segment,0.5,mgate,2024,5,1.01526939868927,2.648453950881958,8.474907302856446,10.084367561340333,0.1910883903503418,,,0.42968134880065917,0.021535668149590494,0.4315|0.4309|0.4313|0.4250,0.0000|0.0000|12.0000|9.0000
