dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
ExchangeRate,none,0.0,96,baseline,DLinear,none,0.0792248249193479,0.001370097446609697,0.19889270422163974,0.0005586361589696792,0.0,3
ExchangeRate,none,0.0,96,baseline,PatchTST,none,0.08595047733477885,0.0030219803150812394,0.2055986127938224,0.0036902490132059455,0.0,3
ExchangeRate,none,0.0,96,baseline,iTransformer,none,0.10417436780442905,0.007662787183291521,0.22769749432467346,0.00897570943971773,0.0,3
ExchangeRate,none,0.0,336,baseline,DLinear,none,0.2898031197958164,0.030715995003259108,0.4061330288380116,0.02354607452923749,0.0,3
ExchangeRate,none,0.0,336,baseline,PatchTST,none,0.34984768484089823,0.011705982234337248,0.428469507678135,0.007610020604284692,0.0,3
ExchangeRate,none,0.0,336,baseline,iTransformer,none,0.3600768100570988,0.010306371827476466,0.4364959263318294,0.007276451669449125,0.0,3
ExchangeRate,variable_channel,0.1,96,coifnet,iTransformer,none,0.491093735402443,0.027884402766159114,0.4029971143502868,0.031672613474233925,3.5227182962921226,6
ExchangeRate,variable_channel,0.1,96,crib,iTransformer,none,0.4978124759951781,0.03517884935488953,0.40633654990669493,0.03256328891053454,3.5227925906913558,6
ExchangeRate,variable_channel,0.1,96,misstsm,iTransformer,none,0.7614058258381676,0.13439978692088797,0.6601203936762577,0.08400820409628817,3.5227925906913558,6
ExchangeRate,variable_channel,0.1,96,saits,iTransformer,none,1682085.5995508332,4080047.65772869,145.74090372840786,319.59882068819326,15242440.780116832,6
ExchangeRate,variable_channel,0.1,96,simple,iTransformer,linear,0.47120418480496284,0.00876368205094114,0.37905110362986943,0.005377810341176194,3.5227925906913558,6
ExchangeRate,variable_channel,0.1,192,coifnet,iTransformer,none,0.5807151720825448,0.03809471333034087,0.4862729761016417,0.029474020587199914,3.643506056573018,6
ExchangeRate,variable_channel,0.1,192,crib,iTransformer,none,0.6007216833681467,0.05315494096686983,0.49642352275101537,0.0367004838992806,3.6438838353597496,6
